,word,df1,df2,df3,df4,df5,df6,df7,df8,df9,df10,df11,df12,df13,df14,df15,df16,df17,df18,df19,df20,df21,df22,df23,df24,df25,df26,df27,df28,df29,df30,df31,df32,df33,df34,df35,df36,df37,df38,df39,df40,df41,df42,df43,df44,df45,df46,df47,df48,df49,df50,idf
0,the,6.988961,8.015713,6.5093884,5.804021,4.7841897,5.543295,5.4998097,6.293305,5.8520303,6.1357985,6.209486,5.543295,5.65396,5.406719,5.75359,5.564348,5.158883,4.8918204,5.4426513,6.123964,5.787492,6.0998664,6.7365723,5.4308167,6.817111,6.2832036,5.634729,5.5108595,5.356709,5.5108595,5.7004805,5.8520303,6.09375,6.5174527,5.7957907,5.304065,5.5849676,5.0430512,5.3694477,4.637586,5.189655,4.610918,5.7184987,5.2341065,5.26268,4.8501477,4.9318256,4.7376695,5.0943446,3.0794415,0.0
1,album,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0794415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
2,kraterov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
3,titular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0986123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.218876
4,councillor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3862944,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3025851
5,a,6.4930615,7.4118185,6.056246,5.1271343,5.394449,4.583519,5.317488,5.75359,4.7376695,4.912023,5.5217886,4.7841897,4.583519,5.189655,4.7841897,5.2341065,5.158883,3.944439,5.2904596,5.454347,5.3307333,5.624973,6.170484,4.988984,6.4161005,5.7791233,5.1743875,5.204693,4.8918204,4.9318256,5.4308167,5.0073333,5.0775375,5.248495,5.1271343,4.9318256,4.8501477,5.0253515,5.0073333,3.9957323,4.295837,4.951244,5.0775375,4.713572,4.7376695,4.4965076,4.555348,4.637586,4.8918204,2.0986123,0.0
6,thin,0.0,2.3862944,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438
7,and,6.918894,7.8679743,6.288267,5.1108737,5.1271343,5.0430512,5.2195077,5.828314,5.4426513,5.5849676,5.624973,4.9318256,4.8501477,5.0775375,5.4426513,5.248495,5.0430512,3.1972246,4.912023,5.4188404,5.304065,5.6728287,6.4071717,5.158883,6.918894,5.934474,5.0430512,5.1743875,4.912023,5.189655,5.4886365,4.951244,5.248495,5.406719,5.304065,4.7612,5.060443,4.7841897,5.1108737,4.465736,4.637586,4.295837,5.0253515,4.610918,4.7376695,4.5263605,4.610918,4.663562,4.7612,2.3862944,0.0
8,slender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
9,admiralti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
10,spire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
11,step,1.6931472,2.0986123,1.6931472,2.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.6931472,0.0,1.0,2.7917595,0.0,2.0986123,0.0,1.6931472,1.0,0.0,0.0,1.6931472,1.0,0.0,0.0,1.0,0.0,2.609438,0.0,0.0,1.0,0.0,1.6931472,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.7765288
12,forward,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,1.6931472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5141277
13,address,0.0,2.3862944,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6931472,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6931472,0.0,0.0,1.0,1.6931472,0.0,1.0,0.0,0.0,1.0,2.3862944,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.86750054
14,zhmyhov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7917595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
15,said:,1.6931472,3.3978953,1.0,0.0,2.0986123,0.0,0.0,1.0,1.6931472,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.609438,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0788096
16,your,2.7917595,4.912023,2.3862944,2.9459102,3.1972246,0.0,2.9459102,4.0910425,1.0,2.3862944,4.0445223,2.3862944,3.1972246,2.0986123,2.0986123,2.0986123,4.295837,2.0986123,2.9459102,3.8332133,3.3978953,3.5649493,3.7725887,1.0,3.8903718,3.0794415,3.6390574,3.5649493,3.1972246,3.1972246,2.609438,0.0,2.3862944,2.3862944,3.1972246,3.3978953,2.609438,2.3862944,2.0986123,3.3025851,2.9459102,2.7917595,2.609438,2.9459102,1.0,0.0,1.0,2.609438,3.7080503,0.0,0.08338159
17,excel,0.0,2.609438,0.0,0.0,1.0,0.0,0.0,2.0986123,0.0,0.0,2.609438,0.0,1.0,0.0,0.0,1.0,3.6390574,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0794415,0.0,0.0,0.0,0.0,0.0,0.0,2.609438,0.0,0.0,0.0,2.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5141277
18,move,2.3862944,3.3025851,1.0,1.6931472,1.0,0.0,1.0,1.6931472,1.6931472,0.0,2.0986123,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609438,1.0,2.609438,1.6931472,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.6931472,0.0,0.0,0.0,0.0,1.6931472,1.0,0.0,1.6931472,2.0986123,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65392643
19,touch,2.0986123,2.7917595,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6931472,0.0,2.0986123,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0986123,1.0,0.0,0.0,0.0,1.6931472,1.0,0.0,0.0,0.0,0.0,0.967584
20,to,5.912655,7.3261495,5.6151204,4.663562,4.610918,4.583519,5.0430512,5.65396,4.8501477,5.477337,5.158883,4.3322043,4.3672957,4.3672957,4.713572,4.713572,4.9318256,4.178054,4.8501477,4.871201,5.1743875,5.276666,5.5325994,5.1108737,6.1817837,5.912655,4.8286414,4.8286414,4.2580967,5.2195077,4.610918,4.7376695,4.6888795,5.1271343,4.9318256,4.871201,4.713572,4.0910425,4.7841897,3.944439,4.555348,4.2580967,4.583519,4.555348,4.4965076,3.9957323,4.0910425,4.4011974,4.8918204,1.6931472,0.0
21,bottom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3025851
22,of,5.8598123,7.126869,5.2904596,4.5263605,4.637586,4.2580967,4.583519,4.7841897,4.912023,4.970292,4.871201,4.4965076,4.583519,4.465736,4.7841897,4.433987,4.663562,3.9957323,4.465736,4.871201,4.610918,5.2341065,5.919981,4.7841897,5.744932,5.787492,4.4011974,4.5263605,4.4965076,4.8286414,4.713572,4.8066626,4.6888795,5.4188404,4.713572,4.4011974,4.218876,4.0445223,4.2580967,4.0445223,3.8903718,4.178054,4.465736,4.3672957,4.3672957,4.135494,4.2580967,3.5649493,4.178054,1.0,0.0
23,our,0.0,3.3025851,2.609438,1.6931472,1.6931472,0.0,1.0,2.0986123,0.0,1.0,1.6931472,0.0,1.6931472,1.0,2.609438,1.0,1.0,1.0,1.6931472,1.6931472,1.6931472,1.0,0.0,1.6931472,1.6931472,2.3862944,1.6931472,0.0,2.0986123,0.0,0.0,0.0,2.0986123,0.0,0.0,2.7917595,0.0,1.6931472,1.6931472,2.3862944,1.0,1.6931472,0.0,3.0794415,2.9459102,1.0,1.0,1.6931472,1.0,1.0,0.3011051
24,heart,2.0986123,3.6390574,0.0,0.0,1.0,1.0,0.0,2.3862944,1.6931472,1.0,2.7917595,0.0,0.0,1.0,0.0,0.0,2.0986123,2.0986123,2.0986123,0.0,1.6931472,2.0986123,2.7917595,1.0,2.7917595,2.7917595,0.0,1.6931472,0.0,1.0,1.6931472,1.0,1.0,0.0,0.0,1.6931472,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0986123,0.0,1.0,0.0,0.41551542
25,by,3.7080503,5.454347,3.7080503,2.9459102,1.6931472,2.3862944,1.6931472,3.1972246,2.609438,3.1972246,3.1972246,2.609438,2.609438,2.3862944,2.3862944,2.7917595,2.3862944,1.0,2.0986123,3.1972246,2.9459102,2.3862944,3.944439,1.6931472,3.3978953,2.3862944,2.9459102,1.6931472,2.3862944,3.3978953,2.609438,2.3862944,3.1972246,3.3978953,2.9459102,2.0986123,2.9459102,1.0,2.609438,2.0986123,1.0,1.6931472,2.0986123,2.609438,2.9459102,2.0986123,1.0,1.0,2.3862944,0.0,0.020202698
26,way,3.0794415,3.8903718,2.609438,1.0,1.0,1.6931472,0.0,2.9459102,1.6931472,0.0,2.0986123,1.6931472,1.0,1.0,0.0,2.0986123,0.0,1.0,2.3862944,1.6931472,1.6931472,1.6931472,3.1972246,2.7917595,2.0986123,2.0986123,2.7917595,0.0,0.0,1.0,1.6931472,1.6931472,3.3025851,2.0986123,0.0,1.6931472,2.0986123,2.0986123,1.6931472,2.0986123,1.0,2.0986123,1.6931472,1.6931472,0.0,0.0,1.6931472,0.0,0.0,0.0,0.27443683
27,you,4.433987,6.4424176,5.0073333,4.9318256,4.663562,3.7080503,4.8501477,5.5849676,3.1972246,4.0910425,4.0445223,4.4011974,4.2580967,4.4965076,3.3978953,4.135494,4.465736,3.7080503,5.060443,5.4188404,5.3307333,4.7612,5.0430512,3.7080503,5.5217886,4.5263605,4.5263605,4.4965076,4.0910425,4.4011974,4.8918204,3.0794415,5.158883,3.7080503,4.951244,4.610918,4.3672957,4.135494,4.4011974,2.7917595,4.583519,4.555348,4.433987,4.0445223,3.944439,2.7917595,2.3862944,3.7080503,4.8286414,2.609438,0.0
28,have,4.465736,5.624973,3.944439,2.609438,3.5649493,2.7917595,3.9957323,4.2580967,2.3862944,3.3025851,3.3978953,2.0986123,3.3978953,3.6390574,3.1972246,3.3025851,3.4849067,2.0986123,2.609438,3.9957323,3.8903718,3.7080503,4.433987,2.7917595,4.0910425,4.0910425,2.0986123,3.7725887,3.3978953,3.1972246,2.9459102,2.9459102,3.7725887,2.7917595,3.944439,3.1972246,3.4849067,3.0794415,2.9459102,2.3862944,3.0794415,2.7917595,3.4849067,3.0794415,3.3025851,3.0794415,1.6931472,2.7917595,3.5649493,0.0,0.020202698
29,rule,0.0,2.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9661129
30,u,2.7917595,4.295837,3.0794415,0.0,1.0,1.6931472,0.0,2.3862944,1.0,2.609438,2.0986123,1.0,1.6931472,2.0986123,1.0,0.0,2.7917595,1.0,1.6931472,3.1972246,1.0,2.0986123,2.3862944,1.0,2.3862944,1.6931472,2.7917595,1.0,0.0,1.0,2.7917595,0.0,2.0986123,0.0,1.0,1.6931472,1.6931472,0.0,1.0,2.3862944,1.0,1.6931472,2.609438,1.6931472,0.0,2.609438,0.0,1.0,2.0986123,0.0,0.22314355
31,dure,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6931472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6931472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5141277
32,long,3.1972246,4.295837,3.0794415,1.6931472,1.0,2.3862944,2.3862944,1.6931472,1.0,2.609438,1.6931472,1.0,0.0,0.0,0.0,1.0,0.0,2.0986123,2.0986123,2.0986123,2.7917595,2.609438,2.9459102,1.0,4.0445223,2.7917595,1.6931472,2.3862944,2.609438,1.6931472,1.6931472,2.3862944,2.0986123,2.609438,2.0986123,1.6931472,1.6931472,1.6931472,1.0,2.7917595,0.0,1.6931472,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.19845097
33,year,2.0986123,4.4965076,2.7917595,0.0,1.0,1.6931472,1.6931472,2.9459102,1.0,1.6931472,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.6931472,2.0986123,2.7917595,1.0,0.0,3.4849067,0.0,1.0,0.0,1.6931472,0.0,1.6931472,2.3862944,1.0,1.0,0.0,2.0986123,0.0,0.0,1.0,2.609438,0.0,0.0,1.0,1.0,2.609438,1.0,0.0,0.0,0.0,0.0,0.4462871
34,fatherli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8134108
35,care,0.0,2.3862944,1.0,0.0,1.0,0.0,1.0,1.6931472,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6931472,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,1.0788096
36,cours,2.609438,3.0794415,2.0986123,0.0,2.3862944,0.0,1.0,1.0,0.0,1.6931472,1.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,1.6931472,0.0,1.0,2.0986123,0.0,2.0986123,2.3862944,0.0,0.0,2.0986123,1.0,2.3862944,1.6931472,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6931472,2.609438,2.3862944,0.0,1.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.65392643
37,more,2.609438,4.218876,2.609438,2.0986123,2.0986123,1.0,1.0,1.6931472,2.3862944,1.6931472,1.6931472,1.6931472,1.6931472,0.0,3.0794415,1.6931472,1.0,1.0,1.0,2.0986123,1.0,1.6931472,3.3025851,1.6931472,2.7917595,2.0986123,1.0,2.7917595,0.0,2.7917595,2.609438,1.6931472,1.6931472,0.0,0.0,0.0,3.1972246,1.0,1.6931472,2.3862944,2.0986123,1.0,2.609438,1.0,0.0,0.0,2.0986123,1.0,0.0,0.0,0.19845097
38,than,1.6931472,4.0910425,2.609438,1.6931472,2.0986123,1.0,2.3862944,2.0986123,0.0,1.0,2.3862944,2.0986123,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.3862944,3.0794415,1.0,1.0,1.0,1.6931472,2.0986123,0.0,2.609438,2.0986123,0.0,1.6931472,0.0,0.0,0.0,2.3862944,1.6931472,0.0,1.6931472,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0986123,0.0,0.38566247
39,ten,1.0,2.609438,2.0986123,0.0,0.0,1.0,3.1972246,1.0,0.0,1.6931472,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.6931472,0.0,0.0,1.0,0.0,2.0986123,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.6931472,1.0,0.0,0.0,0.0,2.0986123,0.0,0.0,0.0,0.0,0.0,0.82098055
40,zakusin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
41,prompt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8134108
42,we,2.9459102,4.610918,3.8332133,2.7917595,2.0986123,0.0,2.7917595,2.9459102,1.0,2.0986123,2.9459102,2.0986123,1.0,3.6390574,2.609438,2.0986123,2.609438,1.0,2.7917595,1.6931472,0.0,2.609438,2.7917595,0.0,2.9459102,3.8332133,1.0,1.0,1.0,2.609438,2.0986123,1.0,2.0986123,1.6931472,1.0,2.3862944,0.0,3.0794415,1.0,1.6931472,2.3862944,2.3862944,2.0986123,2.3862944,3.0794415,3.1972246,1.0,2.3862944,2.3862944,0.0,0.10536056
43,subordin,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3025851
44,on,5.1271343,6.1474943,4.8286414,4.0445223,3.0794415,3.7080503,3.0794415,4.3672957,3.3025851,3.4849067,3.5649493,3.3025851,2.9459102,2.9459102,3.3025851,3.5649493,3.3025851,2.609438,3.6390574,4.218876,3.8903718,4.178054,5.0775375,3.3978953,5.0430512,4.433987,3.7725887,3.7725887,3.5649493,3.1972246,3.6390574,3.9957323,3.7725887,4.135494,3.8332133,3.6390574,3.5649493,3.4849067,3.3025851,2.7917595,2.3862944,2.3862944,3.4849067,2.7917595,3.5649493,3.0794415,3.0794415,2.609438,2.7917595,1.0,0.0
45,thi,3.0794415,5.1431346,3.1972246,2.609438,1.6931472,2.609438,2.0986123,2.9459102,1.6931472,2.3862944,2.9459102,1.6931472,1.6931472,2.609438,2.0986123,2.3862944,2.9459102,1.0,2.609438,0.0,2.7917595,2.7917595,3.9957323,2.609438,3.944439,3.0794415,2.9459102,2.609438,2.3862944,2.609438,2.9459102,2.3862944,2.0986123,2.3862944,3.3025851,2.3862944,0.0,2.3862944,0.0,2.0986123,3.1972246,2.0986123,1.6931472,2.3862944,1.0,1.0,2.609438,1.0,1.6931472,0.0,0.08338159
46,so,3.3978953,4.8286414,3.7725887,2.3862944,2.3862944,1.0,2.609438,3.0794415,1.0,3.1972246,2.609438,2.9459102,2.3862944,1.6931472,2.609438,2.9459102,1.0,2.0986123,2.7917595,3.0794415,2.9459102,2.9459102,3.5649493,2.9459102,4.4011974,3.5649493,2.609438,2.0986123,2.9459102,3.3978953,2.3862944,2.609438,2.609438,2.3862944,2.7917595,2.0986123,2.609438,2.7917595,1.0,2.7917595,2.0986123,2.3862944,2.0986123,3.4849067,2.7917595,1.0,1.6931472,2.3862944,1.0,0.0,0.020202698
47,memor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.218876
48,for,4.5263605,6.1416636,4.465736,3.3978953,3.6390574,3.6390574,3.9957323,4.713572,3.3025851,3.7725887,3.4849067,2.3862944,3.3025851,3.0794415,3.8332133,3.0794415,3.8903718,2.7917595,3.4849067,3.7725887,3.9957323,4.0910425,4.465736,3.3025851,5.248495,4.0445223,3.4849067,3.3978953,3.7080503,3.7080503,4.0910425,3.0794415,3.5649493,3.8903718,3.0794415,3.8903718,3.944439,3.3025851,3.3978953,3.3025851,3.3978953,2.7917595,3.0794415,2.609438,4.135494,3.1972246,2.3862944,2.0986123,3.3978953,1.0,0.0
49,er,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1972246,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9661129
50,day,2.9459102,5.158883,3.4849067,1.6931472,2.0986123,1.6931472,2.3862944,3.5649493,2.7917595,3.8332133,2.3862944,1.0,1.0,1.0,1.6931472,2.609438,2.3862944,2.0986123,1.0,1.0,0.0,2.0986123,1.6931472,3.0794415,3.4849067,1.0,1.0,1.6931472,2.609438,2.609438,1.0,2.609438,1.0,3.1972246,2.0986123,2.7917595,0.0,2.0986123,1.0,2.609438,0.0,2.0986123,0.0,1.0,1.6931472,0.0,1.0,2.9459102,2.0986123,0.0,0.12783337
51,beg,1.0,3.1972246,0.0,1.0,2.3862944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3862944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.6931472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2039728
52,accept,1.0,1.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1202636
53,in,5.624973,7.104793,5.394449,3.944439,4.3322043,3.9957323,4.433987,4.951244,4.3672957,4.663562,4.7841897,4.135494,4.2580967,4.555348,4.0445223,4.5263605,4.5263605,3.4849067,4.433987,3.8903718,4.295837,4.8066626,5.574711,4.433987,6.0106354,4.951244,4.295837,4.295837,4.295837,4.465736,4.3672957,4.433987,3.8903718,4.637586,4.8918204,3.8903718,4.135494,4.0910425,4.583519,3.4849067,3.8332133,3.5649493,3.944439,4.0445223,4.218876,2.7917595,3.944439,3.8332133,4.0910425,0.0,0.020202698
54,token,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8134108
55,respect,0.0,2.3862944,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,2.0986123,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0986123,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0788096
56,profound,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3025851
